"CBSA Code","Metropolitan Division Code","CSA Code","CBSA_Title","MMSA","Metropolitan Division Title","CSA Title","Counties","State Name","FIPS State Code","FIPS County Code","Central/Outlying County","county"
"127","12220",NA,"194","Auburn-Opelika, AL","Metropolitan Statistical Area",NA,"Columbus-Auburn-Opelika, GA-AL","Lee","Alabama","01","081","Central","lee,alabama"
"128","12260",NA,NA,"Augusta-Richmond County, GA-SC","Metropolitan Statistical Area",NA,NA,"Burke","Georgia","13","033","Outlying","burke,georgia"
"129","12260",NA,NA,"Augusta-Richmond County, GA-SC","Metropolitan Statistical Area",NA,NA,"Columbia","Georgia","13","073","Central","columbia,georgia"
"130","12260",NA,NA,"Augusta-Richmond County, GA-SC","Metropolitan Statistical Area",NA,NA,"Lincoln","Georgia","13","181","Outlying","lincoln,georgia"
"131","12260",NA,NA,"Augusta-Richmond County, GA-SC","Metropolitan Statistical Area",NA,NA,"McDuffie","Georgia","13","189","Outlying","mcduffie,georgia"
"132","12260",NA,NA,"Augusta-Richmond County, GA-SC","Metropolitan Statistical Area",NA,NA,"Richmond","Georgia","13","245","Central","richmond,georgia"
"133","12260",NA,NA,"Augusta-Richmond County, GA-SC","Metropolitan Statistical Area",NA,NA,"Aiken","South Carolina","45","003","Central","aiken,south carolina"
"134","12260",NA,NA,"Augusta-Richmond County, GA-SC","Metropolitan Statistical Area",NA,NA,"Edgefield","South Carolina","45","037","Outlying","edgefield,south carolina"
"135","12300",NA,NA,"Augusta-Waterville, ME","Micropolitan Statistical Area",NA,NA,"Kennebec","Maine","23","011","Central","kennebec,maine"
"136","12380",NA,"462","Austin, MN","Micropolitan Statistical Area",NA,"Rochester-Austin, MN","Mower","Minnesota","27","099","Central","mower,minnesota"
"137","12420",NA,NA,"Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area",NA,NA,"Bastrop","Texas","48","021","Outlying","bastrop,texas"
"138","12420",NA,NA,"Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area",NA,NA,"Caldwell","Texas","48","055","Outlying","caldwell,texas"
"139","12420",NA,NA,"Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area",NA,NA,"Hays","Texas","48","209","Central","hays,texas"
"140","12420",NA,NA,"Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area",NA,NA,"Travis","Texas","48","453","Central","travis,texas"
"141","12420",NA,NA,"Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area",NA,NA,"Williamson","Texas","48","491","Central","williamson,texas"
"142","12460",NA,NA,"Bainbridge, GA","Micropolitan Statistical Area",NA,NA,"Decatur","Georgia","13","087","Central","decatur,georgia"
"143","12540",NA,NA,"Bakersfield, CA","Metropolitan Statistical Area",NA,NA,"Kern","California","06","029","Central","kern,california"
"144","12580",NA,"548","Baltimore-Columbia-Towson, MD","Metropolitan Statistical Area",NA,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Anne Arundel","Maryland","24","003","Central","anne arundel,maryland"
"145","12580",NA,"548","Baltimore-Columbia-Towson, MD","Metropolitan Statistical Area",NA,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Baltimore","Maryland","24","005","Central","baltimore,maryland"
"146","12580",NA,"548","Baltimore-Columbia-Towson, MD","Metropolitan Statistical Area",NA,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Carroll","Maryland","24","013","Outlying","carroll,maryland"
"147","12580",NA,"548","Baltimore-Columbia-Towson, MD","Metropolitan Statistical Area",NA,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Harford","Maryland","24","025","Outlying","harford,maryland"
"148","12580",NA,"548","Baltimore-Columbia-Towson, MD","Metropolitan Statistical Area",NA,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Howard","Maryland","24","027","Central","howard,maryland"
"149","12580",NA,"548","Baltimore-Columbia-Towson, MD","Metropolitan Statistical Area",NA,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Queen Anne's","Maryland","24","035","Central","queen anne's,maryland"
"150","12580",NA,"548","Baltimore-Columbia-Towson, MD","Metropolitan Statistical Area",NA,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Baltimore city","Maryland","24","510","Central","baltimore city,maryland"
"151","12620",NA,NA,"Bangor, ME","Metropolitan Statistical Area",NA,NA,"Penobscot","Maine","23","019","Central","penobscot,maine"
"152","12660",NA,"357","Baraboo, WI","Micropolitan Statistical Area",NA,"Madison-Janesville-Beloit, WI","Sauk","Wisconsin","55","111","Central","sauk,wisconsin"
"153","12680",NA,"350","Bardstown, KY","Micropolitan Statistical Area",NA,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN","Nelson","Kentucky","21","179","Central","nelson,kentucky"
"154","12700",NA,"148","Barnstable Town, MA","Metropolitan Statistical Area",NA,"Boston-Worcester-Providence, MA-RI-NH-CT","Barnstable","Massachusetts","25","001","Central","barnstable,massachusetts"
